2025-08-21 00:11:57.344 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 00:11:57.349 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 00:51:15.214 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 00:51:15.214 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 00:55:51.466 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 00:55:51.466 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 01:06:41.896 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 01:06:41.896 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 01:17:59.309 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 01:17:59.309 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 01:43:25.346 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 01:43:25.346 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 01:57:21.343 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 01:57:21.344 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 02:12:30.499 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 02:12:30.500 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 03:03:33.287 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 03:03:33.288 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 03:18:24.255 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 03:18:24.255 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 03:24:32.781 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
